,name,ASIN,Best Sellers Rank,Best_Sellers_Rank_fields,Manufacturer,Product Dimensions (inches),Item Weight (pounds),Date First Available,Is Discontinued By Manufacturer,Item model number,Batteries,Colour
55,"Obudyard Gimbal Stabilizer for Smartphone with Extendable Bluetooth Selfie Stick and Tripod, 1-Axis Multifunction Remote 360°Automatic Rotation, Auto Balance iPhone/Android",B08LV7YLV7,885.0,Cell Phones & Accessories ,Obudyard,9.29 x 3.31 x 1.81,1.808,2020-02-01,,,1 Lithium ion batteries required. (included),Black
56,"Manfrotto Universal Smartphone Clamp, Pro Version (MCPIXI)",B07K6GHL24,2419.0,Cell Phones & Accessories ,Manfrotto,1.02 x 1.18 x 3.43,0.3376,2018-11-01,,MCPIXI,,Black
57,"15 in 1 Universal Phone Camera Lens Kit 18X Telephoto Lens Wide Angle Lens,Macro Lens, Fisheye Lens,Kaleidoscope 3/6 Lens, CPL/Flow/Star/Radial Filter, Tripod, Remote Shutter for Most of Smartphone",B07YZ1RMMS,27295.0,Cell Phones & Accessories ,Phorsen,7.44 x 5 x 1.97,2.0,2019-10-10,,,1 CR123A batteries required. (included),
58,Google - Pixel 3a with 64GB Memory Cell Phone (Unlocked) - Just Black,B07R7DY911,5388.0,Cell Phones & Accessories ,Google,5.96 x 2.76 x 0.32,0.816,2019-04-29,Yes,G020G,1 Lithium Polymer batteries required. (included),Just Black
59,"Newest Car Phone Mount, Miracase Air Vent Mount Ultra Stable & Hands-Free, Thick Case Friendly and 360° Rotation, Universal Cell Phone Holder for Car Compatible for iPhone Samsung and All Smartphones",B08B7P8ZW5,4444.0,Cell Phones & Accessories ,Miracase,15.9 x 7.9 x 1,0.1024,2020-06-16,Yes,,,Black
60,GVM Universal Video Camera Tripod Teleprompter TQ-M for Tablets and Smartphones with Remote Control & App,B08PJQ3JZ2,23.0,"Teleprompters #1,462 ",GVM Great Video Maker,22.5 x 14.5 x 5,11.08,2020-12-03,,,,
61,"Rugged Cell Phone Unlocked OUKITEL WP5, 8000mAh Battery, Android 10.0 Rugged Smartphone,5.5 Inch 4GB RAM+32GB ROM,IP68 Waterproof Shockproof Phone with 4 LED Flashlights,Triple Camera,Dual SIM 4G",B08M36MFRR,4894.0,Cell Phones & Accessories ,OUKITEL,6.06 x 2.92 x 0.7,1.568,2020-05-26,,WP5,1 Lithium Polymer batteries required. (included),Red
62,"Cell Phone Ring Holder, Phone Ring Stand Finger Kickstand 360 Degree Rotation Metal Finger Grip for Magnetic Car Mount Compatible with All iPhone, Smartphone, Android Phones and Pads etc (Gun Black)",B08GFYPFYT,27893.0,Cell Phones & Accessories ,FJI,1.4 x 1.4 x 0.2,0.12960000000000002,2020-08-20,,,,
63,"Unlocked Smartphones, Blackview A80 Android 10 Smartphone, 6.21 inch HD + Screen, Four Rear Cameras, 2GB + 16GB, 4200 mAh Battery, 8.8 mm Smooth & Slim Design, Dual SIM Unlocked Cell Phone GPS Black",B08PKJK6XP,27842.0,Cell Phones & Accessories ,Blackview,6.2 x 3 x 0.35,2.128,2020-12-03,No,,,Black
64,"Vastar Universal Smartphone Tripod Adapter Cell Phone Holder Mount Adapter, Fits iPhone, Samsung, and all Phones, Rotates Vertical and Horizontal, Adjustable Clamp",B01L3B5PBI,490.0,Cell Phones & Accessories ,Vastar,17.5 x 14.5 x 1,0.3936,2016-08-27,No,VTM7-ALX-1,,
65,Zhiyun Smooth 4 3-Axis Handheld Gimbal Stabilizer with Grip Tripod for iPhone 12 11 Pro Xs Max Xr X 8 Plus 7 6 SE Android Cell Phone Smartphone YouTube Vlog Live Video Kit,B07BHCC3BV,5.0,Professional Video Stabilizers,Zhiyun,4.84 x 4.13 x 12.91,2.16,2018-03-15,No,Smooth 4 Black with EACHSHOT tripod,2 Lithium ion batteries required. (included),
66,"Cell Phone Stand Adjustable Angle Height Phone Stand for Desk Stable and Non Slip Mobile Phone Holder, Compatible with Smartphone / iPhone / iPad, Black",B08NV5491W,18954.0,Cell Phones & Accessories ,WANSHDA,4.33 x 2.56 x 0.98,1.072,2020-11-18,,,,
67,"DJI CP.ZM.00000064.01 osmo Mobile 2 Handheld Smartphone Gimbal (Single Unit), Gray",B078XJSCYG,33908.0,Cell Phones & Accessories ,DJI,6.2 x 3.5 x 12,1.08,2018-01-10,No,CP.ZM.00000064.01,1 Lithium Metal batteries required. (included),
68,Moto G7 Play 32GB Android Smartphone GSM Unlocked for AT&T / T-Mobile and all GSM carriers - Deep Indigo (Blue) (Renewed),B07XWVPRWZ,10741.0,Cell Phones & Accessories ,Motorola,7 x 4 x 5,1.92,2019-09-15,,,1 Lithium ion batteries required. (included),Deep Indigo
69,2 Pieces Adjustable Cell Phone Stands Foldable Phone Holder with Anti-Slip Base Phone Desktop Holder for Mobile Phone Android Smartphone Black and Rose Gold,B08R8G88G8,106511.0,Cell Phones & Accessories ,Weewooday,5.12 x 4.92 x 1.57,0.848,2020-12-23,,,,
70,12‘’Screen Magnifier for Cell Phone Mobile Phone Magnifier Projector Screen for Movies and Videos. Easy to Use and Compatible with All Smartphones (Black),B08NJB4Y1W,23617.0,Cell Phones & Accessories ,PiAEk,10.35 x 6.85 x 1.22,0.8959999999999999,2020-11-16,,,,Black
71,SafeLink TCL LX 4G LTE Prepaid Smartphone - Black - 16GB - CDMA - Existing Service Required,B08CL4DNY1,15494.0,Cell Phones & Accessories ,SafeLink,6.75 x 2.5 x 10.38,1.4080000000000001,2020-06-22,,GPALA502DCLLP,1 Lithium ion batteries required. (included),Black
72,"6-Port USB Charger Desktop Charging Station(Type-C, Quick Charge 3.0 and 4 USB Ports),PowerPort 6 Multi USB Charger Hub for Smartphone, Tablet, Headset, Bluetooth Speaker and More White",B08P47BNWX,4089.0,USB Cables,Wyness,3.74 x 3.74 x 1.26,1.4080000000000001,2020-11-25,,,,White
73,TracFone Motorola Moto G Power 4G LTE Prepaid Smartphone (Locked) - Black - 64GB - Sim Card Included - CDMA,B08J5DC12Y,15700.0,Cell Phones & Accessories ,Tracfone,0.3 x 2.9 x 6.2,0.1024,2020-09-01,,TFMTXT2041DCP,1 Lithium ion batteries required. (included),Black
74,"Google Pixel 2, 64GB, Clearly White, GSM Unlocked Android Smartphone, 5"" OLED Display, Fingerprint, 12.2MP+ 8MP Cameras (Renewed)",B078376R96,26570.0,Cell Phones & Accessories ,Google,39.37 x 39.37 x 39.37,1.1840000000000002,2017-12-10,No,GA00140,1 Lithium ion batteries required. (included),White
75,"OUKITEL C22 Unlocked Android Smartphones, Dual Sim 4G Android 10 Unlocked Cell Phone, 4GB 128GB 4000mAh Battery, 5.86 Inches 13MP Triple Rear Camera Face/Fingerprint ID Unlock, US Version (Black)",B08P88NXZF,51581.0,Cell Phones & Accessories ,OUKITEL,2.87 x 59.06 x 0.35,1.008,2020-12-08,No,C22,1 Lithium Polymer batteries required. (included),Dark
76,"Moto G Stylus (2020) - Unlocked Smartphone - US Warranty - 128GB - Mystic Indigo (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, Metro",B087H9FDRM,47261.0,Cell Phones & Accessories ,Motorola,15.99 x 8.99 x 1,0.00368,2020-04-22,,,1 Lithium ion batteries required. (included),Mystic Indigo
77,"BELTRON Jitterbug Smart2 Case, Slim Protective Phone Cover, Dual Layer Protection Hybrid Rugged Case Case for Jitterbug Smart 2 Easy-to-Use 5.5” Smartphone for Seniors by GreatCall (Blue)",B08GN1FSP6,9571.0,Cell Phones & Accessories ,BELTRON,15.99 x 8.99 x 1,0.00368,2019-02-14,Yes,BLT-SAC-A30-BLUE,,
78,"Japanese Style Cute Mobile Cell Phone Switch Stand Holder Sofa Pillow Cushion, Cradle, Stand Accessories Desk Compatible with iPhone Xs Max for Home, Office, Desktop, All Smart Phone (Yellow Sushi)",B08R3PMN2L,37117.0,Cell Phones & Accessories ,Chan Mao Technology Ltd.,1.9 x 1.5 x 1.5,0.17920000000000003,2020-05-29,,,,
79,"Cell Phone Stand for Desk Adjustable Angle Height Desktop Phone and Tablet Holder Compatible with All Mobile Phones,iPhone,Samsung,Pixel,iPad,Smartphone (Black)",B086PCFQ4V,17774.0,Cell Phones & Accessories ,VOTTAN,5.12 x 3.94 x 1.97,1.584,2020-04-02,,,,Black
