name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"Lightweight Gaming Mouse, Honeycomb Design Rechargeable Wireless Gaming Mouse with USB Receiver RGB Backlight Computer Mouse for Laptop PC (White)",B08DWR9LWC,,3436,Video,4.72 x 2.76 x 1.97,0.5648,2020-07-30,,BM600,,,,,,,,,,,,,,,,,
"Razer Goliathus Extended Chroma Gaming Mousepad: Customizable Chroma RGB Lighting, Soft, Cloth Material, Balanced Control & Speed, Non-Slip Rubber Base, Classic Black",B07DG64YL9,Razer,2001,Office,11.58 x 36.25 x 0.12,1.23,2018-06-19,No,RZ02-02500300-R3U1,,,,,,,,,,,,Classic Black,,,,,
"Multi-Device Ergonomic Mouse, seenda Rechargeable Bluetooth Vertical Mouse Switch to 3 Devices, Comfortable Silent Wireless Mouse for Laptop, Windows, MacBook Pro/Air, iPad, Android, Black",B08LB3SN4P,,717,Computer,4.3 x 2.8 x 3.8,0.672,2020-10-17,,IWG-SGM01,,,,,,,,,,,,,,,,,
"NPET M70 Wired Gaming Mouse, 7200 DPI, 7 Programmable Buttons, LED Backlit, Ergonomic Optical PC, Comfortable Computer Gaming Mice for Windows 7/8/10/XP Vista Linux, Black",B07S46TJGV,,1775,Video,5.02 x 2.66 x 1.61,0.96,2019-01-01,No,M70,,,,,,,,,,,,,,,,,
"Dell KM717 Premier Wireless Keyboard and Mouse, Gray",B01M04JXS3,Dell,75,Computer,16.91 x 4.57 x 0.91,2.208,2016-09-13,No,KM717,2 AAA batteries required. (included),,KM717,,,,,,,,,Gray,,,,,
"HEVITDA Mouse Pad, Ergonomic Mouse Pad with Wrist Support, Pain Relief Comfort Wrist Rest Pad with Non-Slip PU Base for Gaming, Home, Office & Travel, Beach",B08CXVW3M1,HEVITDA,11892,Office,8.75 x 7.2 x 0.7,0.8959999999999999,2020-07-16,,,,,,,,,,,,,,Beach,,,,,
"JEDIA Mouse Mover Jiggler, Mouse Mover USB Port with ON/Off Switch for Computer Laptop, Mouse Jiggler with Indicator Light to Prevent Computer from Hibernation Mode",B08LPTDW6T,,990,Computer,5.71 x 3.78 x 0.67 ,0.1808,2020-10-23,,,,,,,,,,,,,,,,,,,
Razer Pro Click Humanscale Wireless Mouse: Ergonomic Form Factor - 5G Advanced Optical Sensor - Multi-Host Connectivity - 8 Programmable Buttons - Extended Battery Life of up to 400 Hours,B08BQXL6DD,Razer,545,Computer,4.99 x 3.14 x 1.8,0.848,2020-08-27,,RZ01-02990100-R3U1,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"PCCOOLER RGB Gaming Mouse Pad, Soft and Large Mouse pad with 14 Lighting Modes 2 Brightness Levels, Non-Slip Rubber Base RGB Mouse Pad for Computer Keyboard，31.5X 11.8in( 800 x 300mm)",B08M8P8C66,PCCOOLER,18980,Office,31.5 x 11.8 x 0.16,1.54,2021-01-01,No,TMP-31.5in,,,,,,,,,,,,Rgb,,,,,
"Bluetooth Mouse,Slim Rechargeable Dual Mode(Bluetooth 4.0 + USB) 2.4GHz Wireless Bluetooth Mouse,3 Adjustable DPI,Compatible for MacBook, Laptop, iPad, PC,Computer (Pink)",B07ZNNL8LX,,465,Computer,5 x 3.1 x 1.4 ,0.3408,2019-10-27,,,1 Product Specific batteries required. (included),,,,,,,,,,,,,,,,
