ASIN,Title,Item_weight,Item_model_number,Best_seller_rank,First_date_available,Manufacturer
B00M8C7T70,"Kodak PIXPRO Astro Zoom AZ421-RD 16MP Digital Camera with 42X Optical Zoom and 3"" LCD Screen (Red)",2.48,AZ421-RD,27512,2014-08-30,JK Imaging Ltd
B00RKNND2W,Canon PowerShot SX530 Digital Camera w/ 50X Optical Zoom - Wi-Fi & NFC Enabled (Black),2.48,9779B001,19787,2015-01-04,Canon
B073V6HXZZ,"Nikon AF-P NIKKOR 70-300mm f/4.5-5.6E ED VR Fixed Zoom Digital Slr Camera Lens, Black",1.5,20068,358,2017-07-11,Nikon
B08G8HR8JV,"MOSISO Camera Backpack,DSLR/SLR/Mirrorless Photography Waterproof 17.3 inch Camera Bag Case with Front Hardshell&Laptop Compartment&Tripod Holder&Rain Cover Compatible with Canon/Nikon/Sony,Space Gray",3.39,,402,2020-08-19,Mosiso
B019UDIAI6,"Canon PowerShot SX540 Digital Camera w/ 50x Optical Zoom - Wi-Fi & NFC Enabled (Black), 1 - 1067C001",2.496,1067C001,15438,2016-01-05,Canon
B0834NPHRY,"Endurax 66"" Video Camera Tripod for Canon Nikon Lightweight Aluminum Travel DSLR Camera Stand with Universal Phone Holder Mount and Carry Bag",3.3,,40,2019-12-26,Endurax
B00A86MMY8,Delkin Devices Fat Gecko Triple Suction Camera Mount (DDMNT-TRIPLE),1.12,DDMNT-TRIPLE,13,2012-04-17,Delkin
B00DMS0GTC,Canon EOS 70D Digital SLR Camera (Body Only),1.66,8469B002,59311,2013-07-01,Canon
B077MDRWZB,"Kodak AZ401-WH PIXPRO 16MP Digital Camera, 3"", White",2.464,AZ401-WH,15146,2018-05-02,JK Imaging Ltd
B08FDKLG76,"Neewer FW600 5.5-Inch Touch Screen Camera Field Monitor Full HD 1920x1080, 4K HDMI DC in/Output RGB Waveform/Vector Scope/3D-LUT，Video Peaking Focus Assist with Tilt Arm for DSLR Cameras and Gimbal",1.1,10097579,62,2020-08-07,NEEWER
B0779PLTN1,NICERYIG 3/8 Inch and 1/4 Inch Camera Quick Release Screw Tripod Screw Adapter Connecter DSLR Camera Rig Accessories,0.12960000000000002,4332299387,1182,2017-11-09,NICEYRIG
B0894RVPH2,"Camera Bag, BAGSMART SLR DSLR Canvas Camera Case, Vintage Padded Shoulder Bag with Rain Cover for Women, Men, Black",1.3,,19,2017-10-31,BAGSMART
B07V5XXDSQ,"CADeN Camera Backpack Bag Professional for DSLR/SLR Mirrorless Camera Waterproof, Camera Case Compatible for Sony Canon Nikon Camera and Lens Tripod Accessories Green",1.74,,7,2019-07-13,CADeN Official Store
B07BT3WMSV,"Neewer F100 7-inch 1280x800 IPS Screen Camera Field Monitor Kit: Support 4k input with 2600mAh Rechargeable Li-ion Battery, USB Battery Charger and 11-inch Magic Arm for DSLR Camera/Camcorder",3.04,90093333,50,2018-03-30,Neewer
B002D2VSD6,Sigma 10-20mm f/3.5 EX DC HSM ELD SLD Aspherical Super Wide Angle Lens for Nikon Digital SLR Cameras,1.15,202306,578,2003-11-24,SIGMA
B078H5H37R,"ESDDI LED Video Light, 176 LED Ultra Bright Dimmable CRI 95+ Camera Light with Battery Set and 5 Color Filters for DSLR Cameras Camcorder",2.528,PLV-280,19,2017-12-18,ESDDI
B07D519QXH,"DJI Ronin-S - Camera Stabilizer 3-Axis Gimbal Handheld for DSLR Mirrorless Cameras up to 8lbs / 3.6kg Payload for Sony Nikon Canon Panasonic Lumix, Black",4.08,CP.ZM.00000103.02,9,2018-07-06,DJI
B08HLXJ4FM,DSLR Camera L Bracket Vertical Horizontal Switching Tripod Head Quick Release Plate Arca Swiss Compatible with Digital DSLR Camera Stabilizer Tripod Monopod Canon Nikon Sony DJI Osmo Ronin Zhiyun,0.976,,15,2020-09-07,Vikii Store
B074QL2NSM,"DSLR Camera Backpack Bag with Rain Cover / Tripod Holder for DSLR Cameras , Lenses, Tripod and Accessories (Green, Small)",1.63,,92,2017-01-10,i-graphy
B08DRL25DK,"4K Camcorder Vlogging Camera for YouTube Ultra HD 4K 48MP Video Camera with Microphone & Remote Control WiFi Digital Camera 3.0"" IPS Touch Screen",,,5421,2020-07-28,
B08DXDNPG8,"Neewer Professional Heavy Duty Video Tripod, 76-inch Aluminium Alloy, Fluid Drag Head, Support Left/Right Bar Handle, Mid-Level Spreader, for DSLR Cameras Video Camcorders, Load up to 33 Pounds",12.21,10097675,57,2020-07-30,NEEWER
B008RYQPC8,Canon EF-S 55-250mm f/4-5.6 is II Telephoto Zoom Lens for Canon EOS DSLR Cameras (White Box),2.208,2044B002,851,2012-08-02,Canon
B00QI6Y3X0,Neewer Aluminum Alloy Camera Video Cage Film Movie Making Kit include:(1)Video Cage(1)Top Handle Grip(2)15mm Rod for DSLR Cameras Such as Canon 5D mark II III 700D 650D Nikon D7200 Pentax Sony Olympus,1.6,10083155@@##1,63,2014-12-03,Neewer
