,ASIN,title,rating,review_count,price,product_type
64,B08HK37ZY8,"DOOGEE S95 Super Rugged Smartphones Unlocked (2020) Helio P90 48MP Triple Rear Camera 6GB RAM+128GB ROM 8650mAh(Battery Module+Speaker Module) IP68 Waterproof Dropproof Dust Proof 6.3"" FHD+ NFC Phone",4.2,13,419.99,smartphone
65,B08QYZ4TFD,"Unlocked Smartphones, CUBOT Note 7 Android 10, 4G Dual SIM Unlocked Cell Phones, 5.5” HD Display, Triple Cameras, 2GB/16GB, 128GB Extension, 3100mAh Battery, US Version, Black",2.5,4,89.0,smartphone
66,B08L9B6QXR,6.5 inch Android 10 Unlocked Smartphone with 6GB RAM+64GB ROM 256GB Extension Dual SIM Face Recognition Smartphones 4500mAh HD Camera Mobile Phone (Green),4.6,25,146.99,smartphone
67,B084RWF9H1,"Samsung Galaxy A71 (128GB, 6GB) 6.7"", 64MP Quad Camera, 25W Fast Charger, Android 10, GSM Unlocked US + Global 4G LTE International Model A715F/DS (128GB + 64GB SD + Case Bundle, Prism Crush Silver)",4.4,335,359.0,smartphone
68,B07R9XZSGL,3-Axis Gimbal Stabilizer for iPhone 12 11 PRO MAX X XR XS Smartphone Vlog Youtuber Live Video Record with Sport Inception Mode Face Object Tracking Motion Time-Lapse - Hohem iSteady Mobile Plus,4.3,6496,89.0,smartphone
69,B08NJHSLH7,DJI OM 4 Combo Include DJI Sling Pouch and Grip Tripod Handheld 3-Axis Smartphone Gimbal Stabilizer Vlog YouTube Live Video for iPhone Android,4.7,4,199.0,smartphone
70,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
71,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,4.3,827,40.32,smartphone
72,B08FYVMRM5,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Mint Green",4.6,2265,599.99,smartphone
73,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
74,B087M26N2K,"Ulefone Armor 7E Rugged Smartphone Unlocked, IP68 Waterproof Cell Phones Helio P90 Android 10 4GB + 128GB, 48MP+2MP+2MP Triple Camera, 5500mAh Battery QI Wireless Charge, 6.3"" FHD+, Global Bands, NFC",4.0,126,359.99,smartphone
75,B08LQ65PC2,"Bomaker Gimbal Stabilizer for Smartphone, 3-Axis Phone Gimbal Handheld Stabilizer Foldable with OLED Screen and Tripod, 3D Inception Hitchcock Time-Lapse AI Tracking for Vlog Youtuber Live Video",4.6,204,109.99,smartphone
76,B088D3H633,"3-Axis Gimbal, Foldable Stabilizer for Mirrorless Cameras, Action Cameras and Smartphones",4.5,53,199.0,smartphone
77,B08DFYDDK1,"Rugged Smartphone Unlocked, Ulefone Armor 8 4GB + 64GB Android 10, 16MP Triple Waterproof Camera, IP68/IP69K Durable, 6.1 inch HD+, 4G Dual SIM, 5580mAh Battery, NFC, OTG, Fingerprint Face ID, Black",4.3,77,229.99,smartphone
78,B08LVFJNHV,"Rugged Cell Phone Unlocked OUKITEL WP5 Pro, 8000mAh Battery, 4GB+64GB ROM, Android 10 Rugged Smartphone, 5.5 Inch IP68 Waterproof Shockproof Phone with 4 LED Flashlights, Triple Camera, Dual SIM 4G",4.4,173,169.99,smartphone
79,B08JLVJ736,"4G Rugged Phones Unlocked, Ulefone Armor X8 (4GB+64GB) Android 10 Octa-core, 13MP Four Camera 5.7 inch Screen 5080 mAh Battery, Dual SIM Waterproof Smartphones Unlocked for AT&T T-Mobile -Orange",4.2,28,179.99,smartphone
80,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
81,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.4,235,72.0,smartphone
82,B087LZNMYB,"TCL 10 Pro Unlocked Android Smartphone with 6.47"" AMOLED FHD + Display, 64MP Quad Rear Camera System, 128GB+6GB RAM, 4500mAh Fast Charging Battery",4.3,302,449.99,smartphone
83,B07XYNN743,Fujifilm Instax Mini Link Smartphone Printer - Ash White,4.8,7686,99.95,smartphone
84,B08G4RXPFV,"Blackview BV6300Pro (2020) Android 10 Rugged Cell Phones, 16MP HDR Quad Rear Cameras, 6GB+128GB IP68/69K Smartphone, 4380mAh Battery Wireless Charge 11.6mm Slim Body 4G - Yellow",4.2,95,219.99,smartphone
85,B08JPLSJW5,"OUKITEL WP5 Pro Rugged Cell Phone Unlocked, 4GB +64GB 8000mAh Android 10 Smartphone IP68 Waterproof 5.5"" HD Triple Camera Global Version 4G LTE GSM AT&T T-Mobile Metro PCS Face ID Fingerprint",4.4,61,169.99,smartphone
86,B07ZDH95L4,"Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Red)",4.3,9246,209.99,smartphone
87,B08KP3XBJX,"Unlocked Cell Phones 5G WiFi 8 Core, Global 4G LTE, Unlocked Smartphone 6.5"" FHD Full Screen 2K, 6GB RAM+64GB ROM Android 10 Cell Phone, 16MP, Fingerprint Face Detection GPS, International Version",4.2,17,140.99,smartphone
88,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
89,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
90,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
91,B08F9KRBV7,"WP7 Rugged Smartphone, Night Vision Camera 8GB + 128GB Helio P90 Waterproof Unlocked Android Cell Phone 6.53 inches FHD+ Global 4G LTE Dual SIM, IP68/IP69K Triple Cameras NFC AI Cellphone (Orange)",4.1,44,399.0,smartphone
92,B08PFGPGRM,"OUKITEL WP8 Pro Unlocked Rugged Smartphone, Android 10 4GB RAM + 64GB ROM MT6762D Cellphone, IP68 5000mAh 6.49 inch Dual SIM 16MP Rear Triple Camera NFC Global Version Mobile Phone (Black)",4.4,228,189.99,smartphone
93,B08P1HBSNR,Phone Ring Holder Finger Kickstand 360°Rotation Ultra-Thin Cell Phone Back Grip Foldable Cellphone Stand Compatible with iPhone iPad Smartphones Tablets ( w/ Universal Magnetic Car Mount),4.6,54,12.79,smartphone
94,B085VDSDPL,"4G Rugged Phones, 2020 Ulefone Armor X7 Android 10 Dual SIM, Rugged Smartphone Unlocked, IP68/69K Waterproof Smartphone, 13MP + 5MP Cameras, 2GB + 16GB, NFC, OTG, Face Unlock, Finger Reader - Black",4.0,393,119.99,smartphone
95,B07STDZ366,"Samsung Galaxy S10, 128GB, Prism Black - For Verizon (Renewed)",4.4,2475,429.95,smartphone
96,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
97,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
98,B08M3GV9BZ,"Unlocked Rugged Smartphone, OUKITEL WP8 Pro 6.49 inch Android 10 Cellphone 5000mAh Battery 4GB RAM + 64GB ROM 4G Dual SIM 16MP Rear Triple Camera NFC Global Version",3.9,193,189.99,smartphone
99,B07MKK92B4,"CM Vintage Retro Telephone Handset Cell Phone Receiver MIC Microphone for Cellphone Smartphone, 3.5 mm Socket (Black)",3.9,690,12.98,smartphone
100,B00EO4A7L0,"Rode SmartLav+ Omnidirectional Lavalier Microphone for iPhone and Smartphones, Black",4.4,4079,79.0,smartphone
101,B084V4VKB6,"Adjustable Cell Phone Stand - Lamicall Phone Desk Holder, Cradle, Dock, Mobile Smartphone Stand, Compatible with Phone 12 Mini 11 Pro Xs Max XR X 8 7 6 Plus SE Charging, Desktop Accessories - Black",4.8,8981,12.99,smartphone
102,B07YZLRBFP,"Xiaomi Redmi Note 8 6.3"" 64GB 4GB RAM (GSM Only, No CDMA) Internationa Version - No Warranty (Neptune Blue)",4.6,9188,187.0,smartphone
103,B08C27KCTC,"OnePlus 7T 6.55"" HD1907 Single Sim GSM Unlocked Smartphone (Renewed) (Frosted Silver, 128GB)",4.3,155,304.95,smartphone
104,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
105,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,4.3,827,40.32,smartphone
106,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
107,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.4,235,72.0,smartphone
108,B07WLLLTNZ,"ZTE Blade A3 Lite 5.0"" 18:9 Display, 8MP Camera Quad-Core Android 9.0 Go (LTE USA Latin Caribbean) 4G LTE GSM Unlocked Smartphone - International Version (Black, 32GB)",4.1,47,78.98,smartphone
109,B0143ENSRK,MIOPS Smart Standalone and Smartphone Controllable Camera and Flash Trigger for High Speed Photography with C1 Cable for Canon 3-Pin Cameras,4.2,217,218.95,smartphone
110,B07RFDD3FC,Celestron – Ultima 65 Angled Spotting Scope with Smartphone Adapter – 18 to 55x65mm Zoom Eyepiece – Multi-Coated Optics for Bird Watching,4.5,7,179.95,smartphone
111,B08JG8JN5S,OUKITEL C21 Unlocked Smartphones 64GB+4GB 6.4”FHD+ Cellphones Unlock Helio P60 20MP Front Camera 4 Rear Cameras 4000mAh Battery Mobile Phone 4G Dual SIM Face ID&Fingerprint Black,4.4,63,149.99,smartphone
112,B076M9RQJ2,Samsung Galaxy S8 64GB Phone - 5.8in Unlocked Smartphone - Midnight Black (Renewed),4.3,1421,219.99,smartphone
113,B08KSJLN31,Unlocked Samsung Galaxy A70 - 128GB - Black - SM-A705U (Renewed),4.6,69,226.0,smartphone
114,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
115,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
116,B08HK37ZY8,"DOOGEE S95 Super Rugged Smartphones Unlocked (2020) Helio P90 48MP Triple Rear Camera 6GB RAM+128GB ROM 8650mAh(Battery Module+Speaker Module) IP68 Waterproof Dropproof Dust Proof 6.3"" FHD+ NFC Phone",4.2,13,419.99,smartphone
117,B08QYZ4TFD,"Unlocked Smartphones, CUBOT Note 7 Android 10, 4G Dual SIM Unlocked Cell Phones, 5.5” HD Display, Triple Cameras, 2GB/16GB, 128GB Extension, 3100mAh Battery, US Version, Black",2.5,4,89.0,smartphone
118,B08DFZ6JNT,"Unlocked Smartphone, Ulefone Note 8 (2020) Android Phones Unlocked 2GB+16GB, Dual Rear Camera Triple Card Slots, 5.5"" IPS Full-Screen 3G Dual SIM Cell Phone Unlocked, 2700mAh, Face Recognition - Green",3.5,312,81.99,smartphone
