,ASIN,title,rating,review_count,price,product_type
182,B085217GYP,"MFTEK RGB Rainbow Gaming Keyboard and Mouse Combo, Compact 87 Keys Backlit Computer Keyboard with Gaming Mouse, USB Wired Set for PC Gamer Laptop Work",4.5,796,23.99,Mouse
183,B0143H4K6K,HP Genuine USB 2-Button Optical Mouse P/N: 672652-001,4.7,578,8.45,Mouse
186,B07WCLZ1PL,"BlueFinger RGB Gaming Keyboard and Backlit Mouse Combo, USB Wired Backlit Keyboard, LED Gaming Keyboard Mouse Set for Laptop PC Computer Game and Work",4.4,1906,23.99,Mouse
187,B07W11KJGD,Havit RGB Gaming Mouse Wired Programmable Ergonomic USB Mice 4800 Dots Per Inch 7 Buttons & 7 Color Backlit for Laptop PC Gamer Computer Desktop (Black),4.5,1864,13.99,Mouse
188,B07XS98TND,"Bluetooth Mouse, Jelly Comb MS02B Triple Mode(BT 4.0+ BT 4.0+ USB) Rechargeable Bluetooth Mouse for iPad, Laptop, MacBook, PC- for iPad OS 13/ Windows 8.0/ MacOS 10.10/ Android 4.3 or Later",4.6,1030,14.99,Mouse
189,B08F3H59PP,"Mouse Pad with Stitched Edge, Computer Mouse Pad with Non-Slip Rubber Base, Mouse Pads for Computers Laptop Mouse 9.6x7.9x0.1 inch, 2021 (Calendar Black)",4.7,491,9.99,Mouse
190,B08BWYDPR3,"JSD Gel Mouse Pad with Wrist Support Wrist Rests 10.00×9.25×1.3 inches (Green, 1 Pack)",4.7,196,7.99,Mouse
191,B07RM5HVGW,"Havit RGB Gaming Mouse Pad Soft Non-Slip Rubber Base Mouse Mat for Laptop Computer PC Games (13.8 X 9.8 X 0.16 inches, Black)",4.7,4580,14.99,Mouse
197,B083HBRW89,"ITNRSIIET Mouse Pad, Ergonomic Mouse Pad with Gel Wrist Rest Support, Floral Gaming Mouse Pad with Lycra Cloth, Non-Slip PU Base for Computer, Laptop, Home, Office & Travel, Flower",4.8,656,7.28,Mouse
198,B012DT5U96,Dell Optical Mouse MS116 (275-BBCB),4.6,2987,13.89,Mouse
199,B07MBM5X7V,"Type C Wireless Mouse, Jelly Comb Dual Mode 2.4Ghz Rechargeable Slim Wireless Mouse with Nano USB and Type C Receiver for PC Laptop, MacBook pro, MacBook air, iMac-MS05 (White and Silver)",4.5,2714,17.99,Mouse
